PM10;PM2-5;O3;CO;NO2;SO2
40,7;16;39,2;0,4;14,5;0
30,2;16;40,5;0,6;19;0
32;21;36,2;0,5;15;0
23;23;30,3;0,4;9,8;0
21,7;13;32;0,3;6;0
13,7;10;28,7;0,3;7,6;0
11,4;8;18,9;0,5;12,8;0
20;6;14,3;0,5;14,1;0
18,8;5;8,4;0,6;15,7;0
14;10;2,9;0,7;17,1;0
21,4;11;7,2;0,5;13;0
13,9;11;6,5;0,4;12,1;0
20,7;11;5,9;0,5;12,6;0
19;8;5,1;0,4;13,3;0
8,7;6;8;0,4;12,6;0
31;4;10,6;0,4;16;0
24,9;6;17,6;0,4;12;0
20,2;9;12,4;0,7;19,9;0
25,4;16;13,6;0,9;24,3;0
34,7;23;28;0,5;14;0
18,5;5;35,6;0,2;5;0
9,9;5;33,2;0,3;5,7;0
0;15;36,4;0,2;4,6;0
18,5;7;37,3;0,3;4,5;0
14,9;7;59,2;0,6;20,7;0
55,3;39;42,6;0,6;26,5;0
34,9;30;34,6;0,6;20,3;0
21;21;9,5;1,4;35;0
32,9;30;3,1;1,6;40;0
48,8;34;14,3;0,9;31,1;0
34,7;23;20,7;0,5;20,6;0
0;11;16,8;0,6;19,7;0
22,7;12;12;0,5;18,3;0
17,3;9;13,5;0,5;15,1;0
15,5;6;10,2;0,4;13,8;0
15,8;11;7,5;0,3;12,7;0
12,7;9;7,3;0,3;11,6;0
17,8;7;4,7;0,3;12,7;0
19;12;4,2;0,3;13,6;0
25,2;12;1,5;0,6;20,4;0
38,7;29;0,8;1,2;22,5;0
41,9;26;2;1,4;25;0
47,1;28;5,3;1,2;26,3;0
47,5;35;11,6;0,7;23,1;0
36,4;29;23,7;0,5;13;0
28,8;9;28,6;0,5;14,4;0
37,7;16;45,2;0,3;8,7;0
32,4;15;45,2;0,3;9,3;0
28;7;36,4;0,3;11,5;0
28,3;9;29,5;0,2;6;0
14,4;8;24,9;0,3;7,4;0
12,9;5;13,2;0,6;18,1;0
12,9;6;9,4;0,7;18,7;0
22,7;10;18,1;0,5;10,5;0
17;17;8;0,6;18,8;0
18,5;8;6,2;0,6;18,1;0
9;9;6,5;0,5;16,5;0
31,2;23;2,3;0,6;16,8;0
14,1;3;1;0,7;20,9;0
0;18;1;0,7;17,7;0
24,4;14;2,2;0,5;17,5;0
25,7;16;3,2;0,4;16,3;0
21,3;15;1,4;0,5;16,5;0
22,5;12;0,7;0,9;20;0
39,7;19;8,8;0,7;15,6;0
21,5;16;21,3;0,3;5,5;0
12;12;23,2;0,3;7;0
0;11;25,7;0,2;4,7;0
0;11;28,8;0,2;3;0
20,5;13;30,8;0,2;3,4;0
15,1;10;34,3;0,2;4,3;0
12,6;9;32,2;0,2;3,8;0
20,2;12;29,6;0,2;3,4;0
12,7;11;28,2;0,2;4,2;0
12,2;10;28,2;0,2;4,8;0
12,4;10;29,1;0,2;5;0
12,9;7;29,4;0,2;3,8;0
12,4;5;29,3;0,2;3,8;0
12,2;8;28,1;0,2;3,3;0
18,8;10;28,5;0,2;2,9;0
8,7;8;27,4;0,2;3,2;0
10,2;9;28,2;0,1;1,9;0
10,2;9;26,3;0,1;4,2;0
26,1;7;27,2;0,1;2,1;0
14,6;9;28,9;0,1;2;0
7,2;0;30,2;0,1;1,6;0
10,2;6;30,1;0,1;2;0
11,9;0;29,1;0,1;2,8;0
12,4;7;28,4;0,2;4,3;0
13,2;6;29,6;0,2;3,6;0
12,7;6;30,5;0,1;3,9;0
12,2;6;34,6;0,1;4,2;0
9;6;36,1;0,2;5;0
10,5;8;38;0,2;5;0
21;12;37,6;0,3;8,2;0
18,3;9;33,9;0,2;5,5;0
19,9;7;34,7;0,2;3,9;0
12,3;0;35,1;0,2;3,8;0
16,3;0;33,9;0,2;3,2;0
15,9;3;31,9;0,2;4,3;0
18,5;8;34,1;0,2;3,2;0
15,9;5;32;0,2;3,5;0
19,8;6;30,7;0,2;4,2;0
15,1;15;28,1;0,2;5,9;0
16,8;13;27;0,2;6,6;0
17,3;8;29,7;0,2;3,9;0
18,3;4;32,6;0,2;2,8;0
9;7;34,7;0,2;2;0
19;10;34,3;0,2;1,6;0
8,4;8;34;0,2;1,6;0
9,2;6;30,9;0,2;2,6;0
14,6;6;30,9;0,2;2,8;0
16,6;3;33,3;0,2;2;0
12,2;5;32,7;0,2;2,3;0
14,9;9;33;0,1;1,8;0
11,7;11;32,6;0,1;2,1;0
13,2;13,2;30,7;0,2;2,7;0
10,2;5;30;0,2;2,6;0
15,9;7;29,2;0,2;2,5;0
12,7;6;28,4;0,2;2,6;0
14,6;6;29,4;0,2;2,1;0
19,7;8;29,8;0,2;1,6;0
12,3;6;29,7;0,2;2,2;0
17;9;29,2;0,2;2,2;0
10,9;6;27,8;0,2;3,1;0
15,6;2;23,6;0,3;5,8;0
16,8;6;20,2;0,3;7;0
7;7;16,5;0,3;8,1;0
21,5;5;19,3;0,3;5,2;0
15,1;7;15,5;0,3;6,9;0
14,6;10;18,7;0,2;3,2;0
9,2;8;21,1;0,2;1,6;0
10,7;2;19,6;0,2;1,6;0
17;0;14;0,2;4,3;0
10,6;4;17,7;0,2;4,1;0
10,5;6;16,2;0,2;4,5;0
21;2;8,6;0,6;11,6;0
27,4;6;15;0,4;6,2;0
13,7;9;15,1;0,4;9,1;0
20;2;20,6;0,3;4,9;0
11,5;2;21,7;0,3;3,8;0
11,9;7;20,1;0,3;4,7;0
15,9;5;19,2;0,3;5;0
12,7;5;18,5;0,3;5,2;0
10,2;3;19,7;0,3;3,5;0
9,2;2;19,5;0,3;3,7;0
7,7;0;20,6;0,3;3,9;0
16,6;0;19,2;0,3;5,2;0
4;4;16,6;0,4;6,9;0
17,8;2;14;0,4;7,3;0
8,3;4;13,7;0,3;6,9;0
8,7;6;17,1;0,3;4;0
9,7;3;17,1;0,2;4,3;0
7,5;0;14,9;0,2;4,6;0
4,8;0;19,5;0,1;1,3;0
6,5;2;19,6;0,1;1,3;0
8,5;7;19,4;0,1;1;0
7;7;17,7;0,1;1;0
7;2;14,7;0,1;4;0
9,4;3;9,9;0,2;8,6;0
15,2;6;10,1;0,4;9,1;0
7,8;3;11,4;0,4;8,6;0
9,5;1;9,5;0,4;11,2;0
15,9;6;13,8;0,3;8,2;0
11,7;4;18,7;0,2;4,6;0
5,1;0;20,2;0,2;2,2;0
3,4;3;23,1;0,2;2,9;0
6,5;4;24,9;0,2;3,3;0
5;5;25,3;0,2;4,1;0
7,3;5;24,4;0,2;5,5;0
16,8;0;26,2;0,2;6,2;0
14,1;0;26,3;0,2;5,6;0
12,2;1;21,4;0,3;10,5;0
12,2;6;23,1;0,3;7,9;0
14,4;4;26,3;0,2;4,8;0
22,5;3;25;0,2;5,3;0
18,3;9;21,8;0,3;7;0
17,4;11;23,8;0,2;4,2;0
19,3;7;22,7;0,1;3,3;0
8,8;7;16;0,2;6,6;0
14,7;11;14;0,2;6,6;0
9,5;9;11,3;0,2;8,7;0
15,3;11;5,3;0,3;15,4;0
24,6;12;4,9;0,6;19,9;0
35,4;18;1,6;1,3;26,4;0
43,4;17;13,9;0,6;13,9;0
20,5;13;23,5;0,2;6,3;0
12,7;10;26,1;0,2;4,8;0
12,7;7;25,7;0,2;5,2;0
16,6;6;25,5;0,2;4,7;0
14,4;7;28,1;0,2;5;0
18,8;6;26,9;0,2;3,5;0
8,3;8;26,9;0,2;3,7;0
19,3;7;26,7;0,2;4,9;0
22,2;4;36,4;0,4;13,7;0
42,4;22;32;0,4;13,5;0
26,1;14;29,7;0,2;3,1;0
24,7;10;28;0,2;3,6;0
23,3;16;25,3;0,2;4,2;0
29,8;4;13,9;0,4;13,5;0
29,8;8;4;0,6;19;0
23,5;16;2,3;0,6;19;0
31;20;0,6;0,8;20;0
33,5;18;4,6;0,4;15,3;0
24;5;4,7;0,4;14,6;0
20,6;6;5,6;0,3;14,2;0
14,9;10;2,9;0,4;18,6;0
32,7;16;1,3;1,1;27,9;0
62,9;21;1,2;1,9;29,1;0
54,1;28;4,5;1,6;27,7;0
50,7;18;10,1;1,1;27,6;0
57,1;21;20,6;0,5;17,3;0
30,1;14;32;0,1;6,6;0
8,5;8;34,4;0,1;5,5;0
8,8;1;34,8;0;3,7;0
6,3;5;35,9;0;4,4;0
7;7;36,8;0;4,4;0
8;4;37,8;0;4,1;0
10,2;2;36,8;0,1;5,3;0
20;0;34,3;0,2;7,6;0
15,6;0;29,1;0,3;13,4;0
26,4;8;27,8;0,4;14,9;0
38,6;11;16,8;0,5;20,5;0
32,7;16;20,9;0,4;19,2;0
33,2;7;11,5;0,6;22;0
43,4;15;4,8;0,7;26;0
40;12;1,1;0,8;26,9;0
44,1;21;0,8;0,6;26;0
