PM10;PM2-5;O3;CO;NO2;SO2
24,9;14;4,7;0,4;14,6;0,9
20,5;19;3,1;0,5;15,8;1
26,2;20;5,6;0,5;13,3;1,2
34,8;8;15,9;0,4;7,2;0,6
31,5;5;21,7;0,3;5,4;0,5
23,7;12;26,5;0,4;8;0,4
29,3;10;32,6;0,4;8,5;0,4
39,1;7;36,7;0,3;6,4;0,3
55;10;35,7;0,4;6,7;0,4
38,7;13;31,8;0,4;6;0,4
28,5;10;29,3;0,3;4;0,4
24,5;11;20,8;0,5;15;0,6
21,8;13;15,7;0,5;18,3;0,9
17;17;16,6;0,4;15,1;0,9
0;32;9,4;0,6;24,2;0,9
35,4;30;7,1;0,5;16,9;1
36,8;14;5,3;0,5;19,9;0,9
39,4;18;6,1;0,5;16,8;1
47,6;17;5,9;0,4;14,7;1
47,6;20;7,1;0,4;13,1;0,8
40,8;20;8,4;0,4;10,1;0,7
32,2;13;10,9;0,3;8;0,8
24,9;12;6,9;0,4;11;0,8
24,8;11;11,8;0,3;7,1;0,6
17,1;15;9,3;0,3;10;0,5
27,9;11;12,3;0,4;9,8;0,3
43,6;12;14;0,4;7,9;0,3
43,6;8;20,5;0,3;3,7;0,2
24;11;22,5;0,3;2,1;0
29,4;7;23,2;0,3;1,6;0
21,3;3;22,5;0,3;2,5;0,1
21,3;7;21,6;0,3;2,6;0,1
30;6;21,8;0,3;2,9;0,1
25,9;7;21,1;0,3;3,3;0,2
25,8;9;21,2;0,3;3,1;0,2
22,6;11;20,3;0,3;4,4;0,2
17,1;10;17,9;0,4;4,9;0,2
14,7;13;14,9;0,5;9,2;0,3
19,1;14;9,6;0,5;14;0,3
29,2;10;11,4;0,5;11,4;0,2
21,6;12;8,8;0,5;12,3;0,3
24,3;15;5,6;0,4;11,3;0,5
30,5;15;3,5;0,5;14,4;0,5
23,3;13;1,6;0,4;14,8;0,8
34,6;11;1,8;0,4;15,3;0,7
25,5;12;1,7;0,4;14,7;0,6
25,5;18;0,7;0,4;16,7;1
29,9;21;0,7;0,4;17;1,5
39,9;22;0,8;0,5;17,8;1,6
63,6;24;0,9;0,7;17,3;1,9
63;26;1,6;0,6;15,8;2,2
88,8;11;6,3;0,5;11,2;1,4
54,5;8;13,9;0,2;4,5;0,6
49,6;9;15,8;0,2;3,2;0,4
33,7;8;15,5;0,2;3,1;0,4
25,2;7;14,7;0,2;2,8;0,4
28,6;6;14,7;0,2;1,9;0,3
33,3;8;13,8;0,2;3,2;0,3
40,7;9;13,8;0,2;3,4;0,2
29,6;6;13;0,3;4,4;0,2
26,6;6;11,9;0,3;5,5;0,2
41,8;10;8,2;0,4;9,8;0,3
43,2;6;7,8;0,3;8,9;0,3
30,8;6;7,2;0,3;8,8;0,4
36,6;7;7,8;0,3;8,1;0,2
26;6;11,8;0,2;4,2;0,2
24,3;4;12,5;0,2;4,3;0,1
17,3;2;14;0,2;2,5;0,5
13,8;2;14,7;0,2;1,7;0,4
15,6;1;13,4;0,2;1,9;0,4
12,1;1;9,2;0,2;7,4;0,7
18,6;10;2,1;0,3;17,7;0,9
52;26;1,8;0,6;18,1;1,5
81,9;30;1,3;0,7;17,2;1,4
103,2;22;2,5;0,8;16,2;1,5
80;4;7,6;0,3;8,4;1,3
79,4;6;8,5;0,4;8,8;1,6
63,1;5;14;0,3;4,4;0,8
46,1;7;15,2;0,3;4,5;0,7
51;6;15,8;0,3;4,1;0,7
36,3;7;16,3;0,3;4,8;0,6
32,4;5;17;0,3;5,2;0,6
32,1;2;17,7;0,3;4;0,7
29,3;5;15,8;0,4;7;0,6
30,7;7;16,3;0,4;8,9;0,7
33;17;13,9;0,4;10,6;0,7
