PM10;PM2.5;OZONO;CO;NO2;SO2
19;13;0,6;0,3;7,3;0
28;17;0,7;0,2;6,8;0
19;10;0,5;0,5;7,3;0
36;17;0,8;0,5;7,6;0
34;22;0,7;0,9;9,6;0
47;30;2,5;0,6;9,1;0
34;21;8,8;0,4;6,9;0
36;12;14;0,3;5,2;0
25;13;17,2;0,1;1,3;0
21;8;18;0,1;0,9;0
16;4;17,9;0,1;1;0
17;0;16,3;0,1;2,4;0
15;3;15,4;0,1;2,9;0
18;5;14,4;0,2;4,9;0
22;10;24,5;0,2;6;0
33;22;18,7;0,3;10,8;0
41;16;12,7;0,4;14,5;0
31;26;6,8;0,5;18,4;0
37;24;9;0,3;10,8;0
26;15;5,3;0,2;11,3;0
20;9;1,5;0,4;14,5;0
32;17;4,3;0,2;10,5;0
30;16;3,1;0,2;10,4;0
25;15;2,6;0,3;9,9;0
24;11;5,2;0,1;5,9;0
17;12;1,5;0,2;8,3;0
28;21;0,8;0,2;9,1;0
21;15;0,6;0,3;9,4;0
30;20;0,8;1,3;11;0
53;33;3,6;0,7;9,4;0
42;24;9,6;0,6;12,9;0
45;21;19;0,7;14,5;0
37;22;33,5;0,4;9,1;0
37;22;45,4;0,4;9,4;0
36;20;52,8;0,4;8,7;0
36;11;52,4;0,3;5,5;0
29;19;35,8;0,2;6,2;0
29;23;32,5;0,2;5,2;0
24;16;33,5;0,1;0,8;0
23;12;29,5;0,1;0,3;0
16;13;23,9;0,1;2,1;0
16;16;18,8;0,2;3,5;0
21;12;13,9;0,2;9,2;0
13;11;2,6;0,5;15,1;0
32;17;0,9;0,6;14,4;0
33;26;14,1;0,2;6,3;0
11;6;12,2;0,2;10,1;0
25;11;18,1;0,1;3,7;0
14;7;17,3;0,1;5,7;0
14;5;16,6;0,1;7,5;0
14;3;10,3;0,2;10;0
16;4;9,7;0,2;9,1;0
10;8;6,6;0,4;8,9;0
19;11;13,2;0,3;6,3;0
9;9;17,2;0,2;3,9;0
20;10;24,2;0,1;1,4;0
22;9;30,9;0,1;0,1;0
20;11;33,6;0,1;0,5;0
19;8;31,8;0,1;0,1;0
19;10;31,5;0,1;0,4;0
18;11;33,1;0,1;1;0
22;13;31;0,1;0,1;0
19;9;29,8;0,1;0,9;0
20;13;27,7;0,1;1;0
21;12;20,8;0,2;4,4;0
26;11;14,4;0,4;11,9;0
19;15;8,3;0,4;12,5;0
18;14;11,5;0,3;7,2;0
25;14;17,6;0,2;5,2;0
16;11;6,2;0,3;13,4;0
21;14;8,1;0,2;10;0
17;13;11,5;0,1;4,4;0
12;8;2,2;0,2;9,1;0
23;11;1,9;0,2;9,1;0
18;8;0,7;0,4;11,2;0
39;19;0,5;0,7;12,8;0
38;24;0,7;1,1;14,1;0
45;26;5,8;1;13,5;0
30;14;22,5;0,2;2,9;0
18;8;27,4;0,1;0,9;0
18;9;29,3;0,1;0,6;0
20;13;30;0,2;2,7;0
22;11;24,6;0,2;2,9;0
23;7;23,1;0,2;3,6;0
13;7;45,7;0,2;2,4;0
26;22;48,7;0,2;2,1;0
32;17;47,2;0,2;3,6;0
31;19;42,3;0,2;3,4;0
35;18;34;0,3;6,4;0
