Fecha;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Radiación;HT
04-01-2023 03:00;17,6;10;0,3;0;301;0;0,4;1,9;15,5;17,5;0;0;0;0
04-01-2023 04:00;12,9;10;1,1;0;328;0;0,4;2,4;18;20,4;0;0;0;0
04-01-2023 05:00;17,3;8;0,5;0;263;0;0,4;5,7;20,4;26,1;0;0;0;0
04-01-2023 06:00;12,4;7;1,9;0;279;0;0,6;13,7;24,4;38;0;0;0;0
04-01-2023 07:00;12,7;8;0,7;0,1;293;0;1,1;37,1;27,7;64,7;0;0;0;0
04-01-2023 08:00;18;18;0,4;0;4;0;1,3;40,4;32,2;72,6;0;0;0;0
04-01-2023 09:00;16,4;15;1,2;0;235;0;1,2;35,6;28,2;63,8;0;0;0;0
04-01-2023 10:00;31,7;13;0,7;0;354;0;0,9;19,5;28;47,6;0;0;0;0
04-01-2023 11:00;31,9;16;0,8;0;131;0;0,8;14,3;27;41,3;0;0;0;0
04-01-2023 12:00;23,1;13;1,1;0;97;0;0,8;10,7;29,8;40,5;0;0;0;0
04-01-2023 13:00;22,2;20;0,9;0;114;0;0,8;10,6;30,9;41,4;0;0;0;0
04-01-2023 14:00;34,2;21;2,4;0;326;0;0,7;8,5;26,3;34,8;0;0;0;0
04-01-2023 15:00;27,5;24;6,3;0;284;0;0,6;7,4;15,5;22,9;0;0;0;0
04-01-2023 16:00;20,8;19;2,6;0;304;0;0,6;9,3;18,5;27,8;0;0;0;0
04-01-2023 17:00;32,7;22;3,4;0;290;0;0,7;8,8;20,2;29;0;0;0;0
04-01-2023 18:00;34,1;21;2,7;0,1;287;0;0,9;9,2;24,5;33,7;0;0;0;0
04-01-2023 19:00;25,2;20;2,2;0;306;0;1;14,6;30,7;45,3;0;0;0;0
04-01-2023 20:00;24,2;24,2;1,9;0,1;324;0;0,9;11,8;28,6;40,4;0;0;0;0
04-01-2023 21:00;29,5;20;0,6;0;7;0;0,7;10,5;20,4;31;0;0;0;0
04-01-2023 22:00;21,9;15;0,8;0,1;124;0;0,5;7,8;12,6;20,3;0;0;0;0
04-01-2023 23:00;16,6;10;0,1;0,1;130;0;0,7;17,2;16,4;33,6;0;0;0;0
04-01-2023 24:00;13,8;11;0,8;0;102;0;0,6;10,8;24,1;34,9;0;0;0;0
05-01-2023 01:00;14,4;11;0,1;0,1;326;0;0,5;5,2;22,2;27,4;0;0;0;0
05-01-2023 02:00;13,1;10;0,4;0;94;0;0,5;15,6;17,7;33,3;0;0;0;0
05-01-2023 03:00;20,4;17;0,2;0,1;84;0;0,4;9,7;14,8;24,5;0;0;0;0
05-01-2023 04:00;15,9;15;0,7;0;303;0;0,5;4,4;19;23,4;0;0;0;0
05-01-2023 05:00;22,4;10;0,1;0,1;217;0;0,4;5,7;16,9;22,6;0;0;0;0
05-01-2023 06:00;19,4;11;0,5;0;97;0;0,6;16;17,4;33,4;0;0;0;0
05-01-2023 07:00;15;11;0,5;0,1;126;0;0,8;25,6;14,3;39,8;0;0;0;0
05-01-2023 08:00;16;16;0,6;0;139;0;1;31,5;16,3;47,8;0;0;0;0
05-01-2023 09:00;18,2;15;0,4;0;99;0;1,2;32,7;28,9;61,6;0;0;0;0
05-01-2023 10:00;21;21;1;0;98;0;1;22,2;27,2;49,4;0;0;0;0
05-01-2023 11:00;26;26;0,7;0,1;30;0;0,9;15,7;28,8;44,5;0;0;0;0
05-01-2023 12:00;25;0;1,1;0;41;0;0,8;0;0;0;0;0;0;0
05-01-2023 13:00;38,9;0;2,3;0,1;83;0;0,4;0;0;0;0;0;0;0
05-01-2023 14:00;27,7;13;3,1;0;89;0;0;3,8;8,1;11,9;0;0;0;0
05-01-2023 15:00;20,4;14;0,9;0;158;0;0,4;4,3;9,3;13,6;0;0;0;0
05-01-2023 16:00;27,1;17;2,1;0;80;0;0,5;4,6;8,4;13,1;0;0;0;0
05-01-2023 17:00;20,3;13;2,5;0;86;0;0,5;5,6;8,6;14,2;0;0;0;0
05-01-2023 18:00;15;15;2,9;0;78;0;0,5;5,5;8,6;14,1;0;0;0;0
05-01-2023 19:00;14,7;9;1,9;0;91;0;0,5;4,2;8,6;12,8;0;0;0;0
05-01-2023 20:00;17;17;0,8;0;124;0;0,6;10,7;11,7;22,4;0;0;0;0
05-01-2023 21:00;19,5;17;0,9;0;114;0;0,8;13,6;15,3;28,9;0;0;0;0
05-01-2023 22:00;0;24;0,5;0;129;0;1,2;37,5;20,9;58,4;0;0;0;0
05-01-2023 23:00;0;25;0,5;0;187;0;1,1;29,3;18;47,4;0;0;0;0
05-01-2023 24:00;21,9;19;0,1;0;164;0;0,8;18,8;20,4;39,2;0;0;0;0
06-01-2023 01:00;21;21;0,5;0;150;0;0,4;9,8;13,4;23,2;0;0;0;0
06-01-2023 02:00;22;15;0,3;0;134;0;0,4;12;12,4;24,3;0;0;0;0
06-01-2023 03:00;25,4;15;0,3;0;154;0;0,4;13,6;13,9;27,5;0;0;0;0
06-01-2023 04:00;18;17;0,6;0;152;0;0,3;4;9;13;0;0;0;0
06-01-2023 05:00;18;14;0,8;0;128;0;0,4;6,6;10,3;16,9;0;0;0;0
06-01-2023 06:00;17;17;0,7;0;140;0;0,6;19,9;12,8;32,7;0;0;0;0
06-01-2023 07:00;20;20;0,6;0;128;0;1,1;42,8;13,9;56,8;0;0;0;0
06-01-2023 08:00;22,9;20;0,3;0;163;0;1,5;71,4;19,9;91,2;0;0;0;0
06-01-2023 09:00;28,1;28;0,9;0;262;0;1,1;38,8;26,7;65,5;0;0;0;0
06-01-2023 10:00;40,6;40;1,3;0;93;0;1,1;35,6;31,6;67,2;0;0;0;0
06-01-2023 11:00;42,8;41;1,4;0;110;0;0,9;17,9;26,8;44,6;0;0;0;0
06-01-2023 12:00;46,6;35;1,3;0;297;0;0,9;12,5;35;47,5;0;0;0;0
06-01-2023 13:00;46,6;29;1,8;0;82;0;0,6;6,7;19,1;25,8;0;0;0;0
06-01-2023 14:00;48,1;14;1,8;0;299;0;0,8;9,8;27,8;37,6;0;0;0;0
06-01-2023 15:00;42;30;4,2;0;285;0;0,7;8,5;23,7;32,3;0;0;0;0
06-01-2023 16:00;50,5;28;3,5;0;281;0;0,6;8;21,7;29,7;0;0;0;0
06-01-2023 17:00;35,9;23;1,4;0;309;0;0,6;6,3;21,4;27,7;0;0;0;0
06-01-2023 18:00;35,9;18;1,5;0;286;0;0,7;5,8;19,3;25,1;0;0;0;0
06-01-2023 19:00;37,1;13;0,8;0;340;0;0,8;8,4;23,9;32,3;0;0;0;0
06-01-2023 20:00;26,9;18;1;0,2;93;0;1,1;20,7;28,9;49,5;0;0;0;0
06-01-2023 21:00;26,8;20;1;1,4;90;0;0,6;6,9;16,2;23,1;0;0;0;0
06-01-2023 22:00;19,8;8;0,7;0,7;111;0;0,5;7,8;14,8;22,7;0;0;0;0
06-01-2023 23:00;14,4;6;1;0,6;111;0;0,4;5,1;12,4;17,5;0;0;0;0
06-01-2023 24:00;13,5;5;0,6;0;110;0;0,4;2,3;10,2;12,5;0;0;0;0
07-01-2023 01:00;10,6;9;0,3;0,2;97;0;0,4;3,8;10,5;14,3;0;0;0;0
07-01-2023 02:00;8;7;1,1;0;111;0;0,3;1,7;6,8;8,5;0;0;0;0
07-01-2023 03:00;7;7;0,7;0;110;0;0,3;2,8;9,1;11,9;0;0;0;0
07-01-2023 04:00;7;7;1,1;0;111;0;0,3;2,3;6,2;8,5;0;0;0;0
07-01-2023 05:00;9,6;5;1,1;0;133;0;0,3;3,5;5,9;9,4;0;0;0;0
07-01-2023 06:00;7,9;6;0,5;0;145;0;0,5;12,4;9,3;21,7;0;0;0;0
07-01-2023 07:00;6,7;6;0,4;0;160;0;0,8;32,2;12;44,2;0;0;0;0
07-01-2023 08:00;7;7;0,5;0;126;0;0,9;27,3;14,2;41,4;0;0;0;0
07-01-2023 09:00;0;13;0,3;0;155;0;0,8;20,2;19,3;39,5;0;0;0;0
07-01-2023 10:00;0;14;0,8;0;109;0;0,7;17,6;18;35,7;0;0;0;0
07-01-2023 11:00;10,1;8;0,2;0;184;0;0,5;11,8;14,2;26;0;0;0;0
07-01-2023 12:00;8,9;8;1,6;0;269;0;0,6;8,8;16,6;25,4;0;0;0;0
07-01-2023 13:00;17,2;8;0,5;0,2;132;0;0,8;13,6;19,7;33,2;0;0;0;0
07-01-2023 14:00;15,6;11;0,8;10,7;118;0;0,8;17,5;15;32,4;0;0;0;0
07-01-2023 15:00;12,1;12;0,8;2,6;106;0;0,6;11;12,9;23,9;0;0;0;0
07-01-2023 16:00;9,5;9;1;0;90;0;0,9;16,5;21,5;38;0;0;0;0
07-01-2023 17:00;0;18;0,2;0;279;0;1,2;29,8;29,5;59,3;0;0;0;0
07-01-2023 18:00;0;24;0,4;0;209;0;1,2;27,1;25,4;52,5;0;0;0;0
07-01-2023 19:00;0;21;0,5;0;152;0;1,5;38,1;24,8;62,9;0;0;0;0
07-01-2023 20:00;0;32;0,5;0;141;0;1,5;38,7;22,6;61,4;0;0;0;0
07-01-2023 21:00;29;29;0,6;0;150;0;1;25,4;17,5;42,9;0;0;0;0
07-01-2023 22:00;23,7;20;0,5;0;158;0;1;21,8;13,8;35,5;0;0;0;0
07-01-2023 23:00;32,9;24;0,6;0;161;0;0,8;19,1;11,6;30,7;0;0;0;0
07-01-2023 24:00;23,5;12;0,4;0;171;0;0,7;16,7;14;30,7;0;0;0;0
08-01-2023 01:00;17,6;10;0,5;0;170;0;0,6;12,2;14,3;26,5;0;0;0;0
08-01-2023 02:00;18,5;8;0,3;0;171;0;0,6;10,8;12,4;23,2;0;0;0;0
08-01-2023 03:00;17,3;11;0,5;0;170;0;0,5;7,9;11,9;19,7;0;0;0;0
08-01-2023 04:00;18,9;9;0,4;0,7;228;0;0,5;7,6;11;18,5;0;0;0;0
08-01-2023 05:00;18,4;7;0,7;0,6;155;0;0,4;2,8;9,2;12;0;0;0;0
08-01-2023 06:00;13,6;6;0,6;0;154;0;0,4;3,6;9,8;13,3;0;0;0;0
08-01-2023 07:00;9,7;6;0,6;0;121;0;0,5;7,6;12,7;20,3;0;0;0;0
08-01-2023 08:00;9;9;0,6;0;130;0;0,5;8,5;12,3;20,9;0;0;0;0
08-01-2023 09:00;14,2;10;0,9;0;258;0;0,5;12,3;12,6;25;0;0;0;0
08-01-2023 10:00;11,2;8;0,6;0;204;0;0,3;2,2;4,6;6,8;0;0;0;0
08-01-2023 11:00;10,7;3;1,9;0;109;0;0,2;1,9;3,7;5,6;0;0;0;0
08-01-2023 12:00;7,9;0;1,2;0;204;0;0,2;1,9;3,8;5,7;0;0;0;0
08-01-2023 13:00;8,5;1;1,5;0;114;0;0,3;2,8;5;7,9;0;0;0;0
08-01-2023 14:00;7,1;1;2,2;0;99;0;0,3;1,4;3,7;5,1;0;0;0;0
08-01-2023 15:00;6;2;1,2;0;105;0;0,3;2,4;5,7;8,1;0;0;0;0
08-01-2023 16:00;4,7;2;1,1;0;116;0;0,4;3,1;6,3;9,4;0;0;0;0
08-01-2023 17:00;6,1;2;2;0;83;0;0,3;3,1;5,8;8,8;0;0;0;0
08-01-2023 18:00;6,1;2;1;0;107;0;0,3;2,6;5,5;8,1;0;0;0;0
08-01-2023 19:00;5,6;0;1,3;0;103;0;0,4;4,5;8,8;13,3;0;0;0;0
08-01-2023 20:00;7;2;1,9;0;101;0;0,5;6,3;9,1;15,4;0;0;0;0
08-01-2023 21:00;6,3;6;0,9;0;74;0;0,4;6,6;8,2;14,8;0;0;0;0
08-01-2023 22:00;5,6;5;1,1;0;89;0;0,4;4,2;6,7;10,9;0;0;0;0
08-01-2023 23:00;5;3;1;0;135;0;0,4;3,8;7,2;11;0;0;0;0
08-01-2023 24:00;5;3;1;0;120;0;0,4;4,4;7,1;11,5;0;0;0;0
09-01-2023 01:00;4,9;4;0,8;0;135;0;0,4;5,5;6,8;12,3;0;0;0;0
09-01-2023 02:00;4,7;3;0,7;0;154;0;0,4;3,5;6,7;10,2;0;0;0;0
09-01-2023 03:00;5,2;1;1,1;0;135;0;0,4;3,5;7,8;11,3;0;0;0;0
09-01-2023 04:00;5,2;0;0,6;0;160;0;0,3;3,7;6,6;10,3;0;0;0;0
09-01-2023 05:00;5;2;0,5;0;143;0;0,4;4,8;7,4;12,2;0;0;0;0
09-01-2023 06:00;4,9;2;0,4;0;98;0;0,5;10,4;9;19,4;0;0;0;0
09-01-2023 07:00;5;5;0,3;0;144;0;0,8;25,6;11,4;37,1;0;0;0;0
09-01-2023 08:00;0;15;0,5;0;118;0;0,7;18,3;11,7;30;0;0;0;0
09-01-2023 09:00;0;17;0;0;246;0;1;35,5;23,6;59,1;0;0;0;0
09-01-2023 10:00;0;24;0,6;0;275;0;1;30,9;30,1;61,1;0;0;0;0
09-01-2023 11:00;0;22;0,9;0;253;0;0,8;17,7;25,2;42,9;0;0;0;0
09-01-2023 12:00;13,9;11;0,6;0;343;0;0,6;12,4;17,9;30,3;0;0;0;0
09-01-2023 13:00;27,9;8;0,7;0;303;0;0,5;6,8;14,7;21,5;0;0;0;0
09-01-2023 14:00;20,8;8;0,7;0;101;0;0,4;2,9;7,2;10;0;0;0;0
09-01-2023 15:00;14,8;5;1,3;0;203;0;0,3;2,9;5,2;8,2;0;0;0;0
09-01-2023 16:00;10,9;2;1,5;0;282;0;0,4;4,6;7,7;12,3;0;0;0;0
09-01-2023 17:00;8,1;3;3,9;0;279;0;0,6;5,4;14,7;20,1;0;0;0;0
09-01-2023 18:00;17,1;16;2,1;2,8;276;0;0,8;3,7;22,6;26,3;0;0;0;0
09-01-2023 19:00;16,2;0;0,4;1,8;272;0;0,8;4,1;24;28,1;0;0;0;0
09-01-2023 20:00;13,8;13;0,5;0,2;111;0;0,9;7,5;30,3;37,8;0;0;0;0
09-01-2023 21:00;13,8;0;0,6;1,9;333;0;0,9;9,2;29;38,2;0;0;0;0
09-01-2023 22:00;17,4;13;0,2;0,8;298;0;1;12,8;30,4;43,1;0;0;0;0
09-01-2023 23:00;13,3;0;0,3;0,1;234;0;1;15,7;25,3;41;0;0;0;0
09-01-2023 24:00;18,2;14;0,4;8,2;322;0;0,7;9,2;24,2;33,4;0;0;0;0
10-01-2023 01:00;13,8;10;0;2,6;124;0;0,5;3,3;24,2;27,4;0;0;0;0
10-01-2023 02:00;13,7;11;0,2;0,2;41;0;0,4;2,3;18,7;21;0;0;0;0
10-01-2023 03:00;10,3;8;0,2;0,2;310;0;0,4;1,2;13,4;14,6;0;0;0;0
10-01-2023 04:00;8;7;0,3;0;351;0;0,4;1,2;14;15,3;0;0;0;0
10-01-2023 05:00;10,1;8;0,2;0;129;0;0,4;2,8;12;14,7;0;0;0;0
10-01-2023 06:00;8,3;7;0,4;0;116;0;0,5;14;8,4;22,5;0;0;0;0
10-01-2023 07:00;7;7;0,4;0;158;0;1;37,7;10,7;48,4;0;0;0;0
10-01-2023 08:00;0;10;0,4;0;135;0;1,4;49;13,2;62,2;0;0;0;0
10-01-2023 09:00;12,7;12;0,3;0;311;0;1,8;70;34,1;104;0;0;0;0
10-01-2023 10:00;0;17;0,1;0,5;49;0;1,5;50,6;34;84,6;0;0;0;0
10-01-2023 11:00;0;24;1,1;0,5;99;0;1,4;47,7;32,6;80,3;0;0;0;0
10-01-2023 12:00;20;20;0,6;0,7;93;0;0,9;27,1;23;50,1;0;0;0;0
10-01-2023 13:00;36,1;9;1,2;1,2;79;0;0,7;17,7;19;36,6;0;0;0;0
10-01-2023 14:00;26,5;11;0,8;0,5;139;0;0,5;9,3;12,8;22;0;0;0;0
10-01-2023 15:00;19;8;0,7;0;252;0;0,7;13,5;17;30,4;0;0;0;0
10-01-2023 16:00;17,8;7;1,4;0,4;272;0;1;14,5;28,9;43,4;0;0;0;0
10-01-2023 17:00;23;23;1;9,2;127;0;1;13,7;33,9;47,6;0;0;0;0
10-01-2023 18:00;25;25;0,9;5,4;93;0;1,5;26,6;37;63,5;0;0;0;0
10-01-2023 19:00;0;24;0,7;1,6;149;0;1,4;25,5;30,7;56,1;0;0;0;0
10-01-2023 20:00;0;21;0,9;0,1;150;0;0,8;17,4;18,7;36,1;0;0;0;0
10-01-2023 21:00;18,9;10;0,6;0,1;138;0;0,7;18,8;15,1;33,9;0;0;0;0
10-01-2023 22:00;13,5;8;1,1;0;145;0;0,6;14,2;10,4;24,6;0;0;0;0
10-01-2023 23:00;10,4;5;0,8;0;145;0;0,6;13,3;11,8;25,1;0;0;0;0
10-01-2023 24:00;8,9;6;0,4;0;157;0;0,5;7,7;11,1;18,8;0;0;0;0
11-01-2023 01:00;8,3;7;0,7;1,2;144;0;0,4;3,1;8,2;11,3;0;0;0;0
11-01-2023 02:00;7,2;6;0,4;0,6;165;0;0,6;5,9;16,7;22,6;0;0;0;0
11-01-2023 03:00;0;7;0,3;0,4;121;0;0,5;2,3;15;17,3;0;0;0;0
11-01-2023 04:00;7;7;0,5;0;145;0;0,4;1,8;9,8;11,6;0;0;0;0
11-01-2023 05:00;8,2;6;0,5;0;132;0;0,4;5,8;10,9;16,8;0;0;0;0
11-01-2023 06:00;7,1;4;1;0;137;0;0,5;9;9,6;18,6;0;0;0;0
11-01-2023 07:00;6,4;4;0,8;0;168;0;0,7;22;11,3;33,3;0;0;0;0
11-01-2023 08:00;8;8;0,4;0;163;0;1,7;71,5;19,4;90,9;0;0;0;0
11-01-2023 09:00;16;16;1,4;0;95;0;1,7;64,8;27,9;92,7;0;0;0;0
11-01-2023 10:00;18,9;14;0;0;127;0;1,9;58,8;44,4;103,2;0;0;0;0
11-01-2023 11:00;0;26;1,3;0;114;0;0,5;6,6;8;14,6;0;0;0;0
11-01-2023 12:00;12,8;1;2,7;0;96;0;0,4;4,3;5,6;10;0;0;0;0
11-01-2023 13:00;14,9;3;2,6;0;102;0;0,4;3;4,6;7,5;0;0;0;0
11-01-2023 14:00;12,8;3;0,9;0;207;0;0,5;6,8;7,9;14,7;0;0;0;0
11-01-2023 15:00;9,1;1;1,8;0;106;0;0,4;6;6,3;12,3;0;0;0;0
11-01-2023 16:00;7,3;6;0,7;0;133;0;0,5;6,4;8,3;14,8;0;0;0;0
11-01-2023 17:00;9,5;5;2,8;0;302;0;0,9;11,2;26,7;37,8;0;0;0;0
11-01-2023 18:00;17;17;1,4;0;294;0;1,2;16,5;31;47,5;0;0;0;0
11-01-2023 19:00;17,1;12;1,3;0;299;0;1,4;22,8;35,1;58;0;0;0;0
11-01-2023 20:00;15;15;0,4;0;348;0;1,4;28,4;36;64,4;0;0;0;0
11-01-2023 21:00;0;20;0,3;0;65;0;1,2;30,9;24,3;55,1;0;0;0;0
11-01-2023 22:00;12,8;11;0,8;0;139;0;0,9;23,6;15,7;39,2;0;0;0;0
11-01-2023 23:00;21,4;9;0,5;0;119;0;0,9;20,6;18,1;38,7;0;0;0;0
11-01-2023 24:00;17;17;0,7;0;140;0;0,7;16,9;16,9;33,8;0;0;0;0
12-01-2023 01:00;12,5;10;0,4;0,3;132;0;0,5;5,2;16,2;21,5;0;0;0;0
12-01-2023 02:00;11,5;11;0,5;1,4;139;0;0,4;2,7;10,8;13,5;0;0;0;0
12-01-2023 03:00;12,8;7;1;0,6;151;0;0,3;1;5,7;6,6;0;0;0;0
12-01-2023 04:00;9,5;5;0,6;0,3;164;0;0,2;1,2;4,2;5,5;0;0;0;0
12-01-2023 05:00;7,2;4;0,5;0,2;141;0;0,3;4,4;8,4;12,8;0;0;0;0
12-01-2023 06:00;5,5;5;0,7;0,5;157;0;0,5;12,2;10,4;22,6;0;0;0;0
12-01-2023 07:00;9,2;5;0,5;0;218;0;1;38,5;15,3;53,7;0;0;0;0
12-01-2023 08:00;9,9;8;0,4;0;155;0;1,5;51,6;18,7;70,3;0;0;0;0
12-01-2023 09:00;0;13;0,5;0;69;0;0;0;0;0;0;0;0;0
12-01-2023 10:00;0;19;0,6;0;300;0;0;0;0;0;0;0;0;0
12-01-2023 11:00;20;20;0,8;0;101;0;0;0;0;0;0;0;0;0
12-01-2023 12:00;12,8;8;0,5;0,1;31;0;0;16,8;19,7;36,5;0;0;0;0
12-01-2023 13:00;13,6;5;1;0;86;0;0,4;0;0;0;0;0;0;0
12-01-2023 14:00;21,4;7;0,8;0;141;0;0,4;0;0;0;0;0;0;0
